artist,song
Drake,Diplomatic Immunity
Billie Eilish,Happier Than Ever
Drake,9
Justin Bieber,As I Am
Justin Timberlake,Mirrors
Taylor Swift,The Archer
Jonas Brothers,Cool
Flipp Dinero,How I Move
French Montana,Writing on the Wall
Panic! At The Disco,Death Of A Bachelor
Gunna,Banking On Me
KAROL G,GATÃBELA
Luke Christopher,Lot to Learn
OneRepublic,Rich Love
Drake,6 God
Taylor Swift,invisible string
Drake,Digital Dash
Daryl Hall & John Oates,Jingle Bell Rock
KAROL G,BICHOTA
Kendrick Lamar,Big Shot
Cico P,Tampa
Wiz Khalifa,Bake Sale
Billie Eilish,come out and play
Thomas Rhett,Look What God Gave Her
Kanye West,True Love
LISA,MONEY
Luke Combs,One Number Away
Drake,Blue Tint
One Direction,Night Changes
21 Savage,all my friends
Skrillex,Would You Ever
Juice WRLD,Up Up And Away
The Weeknd,Die For You
Maluma,HawÃ¡i
21 Savage,Numb
Luke Combs,She Got the Best of Me
Billie Eilish,my boy
5 Seconds of Summer,She Looks So Perfect
Migos,Notice Me
SZA,SOS
Drake,Talk Up
Drake,Pain 1993
Lil Yachty,Poland
Yung Bleu,Youâre Mines Still
Julia Michaels,Heaven
SoFaygo,Knock Knock
Rauw Alejandro,Desesperados
NLE Choppa,Narrow Road
Britney Spears,Make Me...
Machine Gun Kelly,I Think I'm OKAY
Rihanna,Sex With Me
Lil Tecca,Shots
Drake,Pop Style
Taylor Swift,"no body, no crime"
Lady Gaga,Bloody Mary
Nicki Minaj,No Frauds
Drake,N 2 Deep
Trippie Redd,Rich MF
Bad Bunny,Solo de Mi
Summer Walker,No Love
ZAYN,Still Got Time
Drake,Live From The Gutter
Future,Solitaires
Sech,Otro Trago
Drake,BackOutsideBoyz
Kendrick Lamar,FEAR.
Tyler Childers,All Your'n
Camila Cabello,OMG
Billie Eilish,NDA
Lady Gaga,Always Remember Us This Way
A$AP Ferg,New Level
Keith Urban,Blue Ain't Your Color
Ariana Grande,34+35 Remix
Lil Uzi Vert,The Way Life Goes
Zara Larsson,I Would Like
Morgan Wallen,865
Muni Long,Hrs and Hrs
Chance the Rapper,GRoCERIES
Lil Baby,Real As It Gets
Billie Eilish,ilomilo
Khalid,Right Back
BeyoncÃ©,ALIEN SUPERSTAR
Daniel Caesar,Get You
Robin Schulz,Shed a Light
Taylor Swift,Gorgeous
The Weeknd,True Colors
Clinton Kane,I GUESS I'M IN LOVE
Ivan Cornejo,EstÃ¡ DaÃ±ada
Giveon,For Tonight
Regard,Ride It
Flo Rida,Cake
Roddy Ricch,Die Young
Eminem,Greatest
J Balvin,QUE PRETENDES
Ne-Yo,She Knows
Little Mix,Woman Like Me
Post Malone,Wow.
Dierks Bentley,Somewhere On A Beach
Sleepy Hallow,Deep End Freestyle
Camila Cabello,She Loves Control
Drake,Scholarships
BLACKPINK,Kill This Love
Carpenters,Merry Christmas Darling
Shawn Hook,Sound Of Your Heart
AURORA,Runaway
Deorro,Five More Hours
Taylor Swift,High Infidelity
ChlÃ¶e,Have Mercy
Jeremy Zucker,comethru
Dreamville,Down Bad
Niall Horan,Nice To Meet Ya
Usher,No Limit
Kanye West,All Day
Ed Sheeran,Dive
BLACKPINK,How You Like That
Lil Uzi Vert,Do What I Want
DJ Khaled,I Got the Keys
Gucci Mane,Curve
Taylor Swift,mirrorball
KAROL G,X SI VOLVEMOS
Taylor Swift,âtis the damn season
5 Seconds of Summer,Amnesia
Morgan Wallen,Man Made A Bar
Arizona Zervas,FML
Summer Walker,Girls Need Love
Lil Baby,Errbody
Kendrick Lamar,United In Grief
Britney Spears,My Only Wish (This Year)
Kali Uchis,Moonlight
Drake,Started From the Bottom
Drake,Ice Melts
Justin Bieber,No Pressure
Liam Payne,For You (Fifty Shades Freed) (& Rita Ora)
Drake,No Tellin'
Taylor Swift,gold rush
lil Shordie Scott,Rocking A Cardigan in Atlanta
NAV,Never Sleep
The Weeknd,Secrets
Travis Scott,NO BYSTANDERS
Taylor Swift,seven
Kendrick Lamar,i
Don Toliver,Private Landing
Sam Smith,Latch
Bad Bunny,Dos Mil 16
6ix9ine,KOODA
Drake,KMT
Metro Boomin,Raindrops (Insane) [with Travis Scott]
Michael BublÃ©,Santa Claus Is Coming to Town
Drake,Summer Games
Moneybagg Yo,Said Sum
David Guetta,Flames
Travis Scott,R.I.P. SCREW
Justin Bieber,Purpose
Avicii,Hey Brother
Machine Gun Kelly,Home
Bad Bunny,TE MUDASTE
Queen,Another One Bites The Dust
MAX,Lights Down Low
Drake,Love All
Camila Cabello,Real Friends
Drake,No Long Talk
Taylor Swift,Christmas Tree Farm
Trippie Redd,Love Me More
Ashley O,On A Roll
Fergie,L.A.LOVE (la la)
CafunÃ©,Tek It
Blueface,Outside (Better Days)
XXXTENTACION,I Don't Wanna Do This Anymore
The Weeknd,Rockinâ
All Time Low,"Dear Maria, Count Me In"
Migos,Need It
Meghan Trainor,Dear Future Husband
J. Cole,9 5 . s o u t h
Twenty One Pilots,Level of Concern
Gucci Mane,Rumors
Smokepurpp,Audi.
King Von,Don't Play That
Rainbow Kitten Surprise,It's Called: Freefall
Ariana Grande,motive
Nicky Jam,El PerdÃ³n
Juice WRLD,Wandered To LA
Thurl Ravenscroft,"You're A Mean One, Mr. Grinch"
BTS,Permission to Dance
Vacations,Young
Travis Scott,STOP TRYING TO BE GOD
SZA,The Weekend
Niall Horan,Too Much To Ask
Ariana Grande,Everyday
NF,Time
Lil Tjay,In My Head
Bo Burnham,Welcome to the Internet
SZA,Gone Girl
Juice WRLD,Burn
Kodak Black,Love & War
Bo Burnham,Bezos I
Eslabon Armado,Ella Baila Sola
Justin Bieber,Mark My Words
Rich Gang,Lifestyle
Maddie & Tae,Die From A Broken Heart
Khalid,Up All Night
Vice,Steady 1234
Juice WRLD,Fighting Demons
Trippie Redd,Excitement
21 Savage,can't leave without it
Kendrick Lamar,Father Time
Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up)
DUSTY LOCANE,ROLLIN N CONTROLLIN FREESTYLE
Taylor Swift,All Of The Girls You Loved Before
Mac Miller,Weekend
Sam Smith,Lay Me Down
StarBoi3,Dick
Drake,Sandraâs Rose
Ariana Grande,sweetener
6ix9ine,WAKA
Morgan Wallen,â98 Braves
Chris Brown,New Flame
Sam Smith,To Die For
Lil Wayne,Dedicate
The Lumineers,Ho Hey
One Direction,Story of My Life
Mike WiLL Made-It,Perfect Pint
SZA,F2F
Taylor Swift,this is me trying
David Guetta,Dangerous
StaySolidRocky,Party Girl (Remix)
TiÃ«sto,10:35
Central Cee,Doja
BTS,MIC Drop
Vince Guaraldi Trio,Christmas Time Is Here
ElyOtto,SugarCrash!
Lorde,Tennis Court
Lee Brice,Rumor
Ella Henderson,Ghost
Chance the Rapper,Angels
Blxst,Chosen
Cardi B,Press
BIA,WHOLE LOTTA MONEY
Taylor Swift,Glitch
Old Dominion,Written in the Sand
BTS,FAKE LOVE
Megan Moroney,Tennessee Orange
Gabby Barrett,The Good Ones
Kendrick Lamar,DUCKWORTH.
Kendrick Lamar,BLOOD.
The Weeknd,Hurt You
Hugh Jackman,The Greatest Show
Avicii,Without You
The Weeknd,Out of Time
Taylor Swift,illicit affairs
Lil Yachty,66
Elton John,Step Into Christmas
Pop Smoke,Something Special
NLE Choppa,Shotta Flow 5
Jason Aldean,If I Didn't Love You
Ariana Grande,MONOPOLY
Rod Wave,Street Runner
Zach Bryan,Dawns
Ella Fitzgerald,Sleigh Ride
Ski Mask The Slump God,Foot Fungus
Bruno Mars,Skate
Drake,Hours In Silence
Echosmith,Bright
Lil Yachty,Peek A Boo
Khalid,Suncity
Jack Harlow,Churchill Downs
Eminem,Kamikaze
J. Cole,Change
Toosii,Favorite Song
Nicky Jam,Te RobarÃ©
Machine Gun Kelly,At My Best
Future,Rent Money
Drake,4422
salem ilese,Mad at Disney
Drake,Madiba Riddim
Morgan Wallen,Sunrise
Chris Stapleton,Starting Over
French Montana,Lockjaw
Kali Uchis,I Wish you Roses
Lady Gaga,Applause
Tyla Yaweh,Tommy Lee
Trippie Redd,Matt Hardy 999
Drake,Jorja Interlude
AJR,Sober Up
Luke Bryan,Kick The Dust Up
Musical Youth,Pass The Dutchie
Jason Derulo,Get Ugly
Chino Pacas,El Gordo Trae El Mando
Big Sean,One Man Can Change The World
Pia Mia,Do It Again
Morgan Wallen,Cowgirls
Erica Banks,Buss It
Metro Boomin,Umbrella
Pierce The Veil,King For A Day
Polo G,No Return
Post Malone,Myself
Fifth Harmony,Sledgehammer
Lil Nas X,SUN GOES DOWN
San Holo,Light
Lil Baby,Drip Too Hard
Katy Perry,This Is How We Do
Juice WRLD,Can't Die
Lizzo,2 Be Loved (Am I Ready)
Lil Pump,D Rose
BLACKPINK,Shut Down
Ellie Goulding,Something In The Way You Move
Ariana Grande,make up
Eyedress,Jealous
Little Mix,Black Magic
Macklemore & Ryan Lewis,Thrift Shop
ScHoolboy Q,Numb Numb Juice
Taylor Swift,tolerate it
"Earth, Wind & Fire",September
Ivan Cornejo,La Curiosidad
Imagine Dragons,I Bet My Life
Lilly Wood and The Prick,Prayer in C
ROSALÃA,TKN
Hearts & Colors,Lighthouse
WhoHeem,Lets Link
Drake,Pipe Down
Sam Fischer,This City
Lil Pump,Butterfly Doors
Taylor Swift,Dear Reader
Fivio Foreign,City of Gods
DaBaby,BLIND
NOTD,I Wanna Know
Big Sean,Go Legend (& Metro Boomin)
Jon Pardi,Dirt On My Boots
Drake,Redemption
OneRepublic,No Vacancy
Migos,Having Our Way
Rixton,Me And My Broken Heart
Lauv,Mean It
Bryson Tiller,Let Me Explain
A Boogie Wit da Hoodie,Timeless (DJ SPINKING)
Travis Scott,5% TINT
"Tyler, The Creator",I THINK
Polo G,Be Something
Drake,U With Me?
Eminem,Walk On Water
City Girls,Pussy Talk
SZA,Notice Me
blackbear,me & ur ghost
Mark Ronson,Find U Again
Cashmere Cat,Quit
Camila Cabello,Don't Go Yet
Devin Dawson,All on Me
Jason Aldean,Burnin' It Down
Justin Bieber,No Sense
DaBaby,JUMP
Lil Wayne,Can't Be Broken
Harry Styles,Boyfriends
Justin Timberlake,Filthy
Judy Garland,Have Yourself A Merry Little Christmas
Baby Tate,"Hey, Mickey!"
Joji,Sanctuary
Cashmere Cat,Miss You
J. Cole,The Cut Off
Lil Uzi Vert,Prices
Kid Ink,Show Me
Labrinth,All For Us
Bo Burnham,All Eyes On Me
The Weeknd,Is There Someone Else?
Kygo,Happy Now
Kanye West,Violent Crimes
Kodak Black,MoshPit
Black Eyed Peas,MAMACITA
Leah Kate,10 Things I Hate About You
J. Cole,BRACKETS
Sech,Otro Trago
Don Toliver,Had Enough
Chris Brown,Don't Check On Me
MadeinTYO,Skateboard P
Billie Eilish,8
J Balvin,QuÃ© MÃ¡s Pues?
Old Dominion,Snapback
Luke Bryan,Strip It Down
The Weeknd,Tell Your Friends
Juice WRLD,Screw Juice
Black Eyed Peas,GIRL LIKE ME
G-Eazy,Still Be Friends
BoyWithUke,IDGAF
The Weeknd,Real Life
Cults,Gilded Lily
Galantis,Runaway (U & I)
Kygo,"Carry On (from the Original Motion Picture ""POKÃMON Detective Pikachu"")"
Bebe Rexha,Last Hurrah
AnnenMayKantereit,Tom's Diner
KREAM,Taped up Heart
Taylor Swift,Paper Rings
Kid Cudi,Show Out
James Hersey,Miss You
Drake,After Dark
Bad Bunny,La Santa
Lil Uzi Vert,Homecoming
Migos,BBO (Bad Bitches Only)
Drake,Jaded
The Chainsmokers,Hope
A$AP Mob,Crazy Brazy
BIA,WHOLE LOTTA MONEY
O.T. Genasis,CoCo
Thomas Rhett,On Me
Miguel,Girl With The Tattoo Enter.lewd
Drake,Thatâs How You Feel
The Chainsmokers,Break Up Every Night
Mac Miller,Blue World
Lil Durk,AHHH HA
MEDUZA,Paradise
Future,Mask Off
Drake,IMY2
CNCO,ReggaetÃ³n Lento (Remix)
Nicki Minaj,Red Ruby Da Sleeze
Pitbull,Fireball
Zedd,Get Low
Trippie Redd,Holy Smokes
Kane Brown,Thank God
JVKE,this is what falling in love feels like
Ellie Goulding,Sixteen
Nicki Minaj,Barbie Dreams
Michael Jackson,Thriller
Kendrick Lamar,Count Me Out
Ozuna,Se PreparÃ³
Tyler Childers,Feathered Indians
Louis The Child,Better Not
Calvin Harris,Giant
Nicki Minaj,Seeing Green
Bad Bunny,Amorfoda
Lil Uzi Vert,X
Future,Hard Work Pays Off
A R I Z O N A,Oceans Away
The Game,100
5 Seconds of Summer,She's Kinda Hot
Florida Georgia Line,Dirt
Drake,I'm The Plug
G-Eazy,Order More
Gunna,Speed It Up
XXXTENTACION,going down!
Nio Garcia,La Jeepeta
Drake,Finesse
Quality Control,Baby
The Weeknd,All I Know
Kina,Get You The Moon
Tim McGraw,Humble And Kind
Ava Max,My Head & My Heart
Post Malone,I'm Gonna Be
Kendrick Lamar,The Heart Part 4
XXXTENTACION,Depression & Obsession
Bebe Rexha,Bad Bitch
PARTYNEXTDOOR,Loyal
"Tyler, The Creator",LUMBERJACK
Young Thug,Digits
Sam Smith,Lay Me Down
Lil Dicky,Earth
Frank Sinatra,Have Yourself A Merry Little Christmas
Zedd,Clarity
Lauv,Feelings
Mumford & Sons,Believe
Pitbull,Fun
Kevin Gates,Thinking with My Dick
Joji,Gimme Love
Aaron Carter,Sooner Or Later
Yeat,Poppin
Stephanie Beatriz,All Of You
Cheat Codes,Feels Great
Juice WRLD,In My Head
Sueco,Paralyzed
Bad Bunny,EnsÃ©Ã±ame a Bailar
Peach Tree Rascals,Mariposa
Lil Baby,In A Minute
"Tyler, The Creator",ARE WE STILL FRIENDS?
Summer Walker,Come Thru
Selena Gomez,Baila Conmigo
Kanye West,Wouldn't Leave
Justin Timberlake,Not a Bad Thing
Travis Scott,ESCAPE PLAN
Taylor Swift,Nothing New
Khalid,Eleven
A Boogie Wit da Hoodie,Man in the Mirror
Chris Brown,Back To Sleep
Tame Impala,Eventually
Travis Scott,NC-17
Taylor Swift,mad woman
Dua Lipa,Kiss and Make Up
J. Cole,She's Mine Pt. 1
Bad Bunny,Me Fui de Vacaciones
Katy Perry,Swish Swish
Galantis,Heartbreak Anthem
Camila Cabello,Havana
Jaden,Icon
Chris Lane,Take Back Home Girl (Feat. Tori Kelly)
Calvin Harris,Potion
Becky G,Sin Pijama
Jax,Victoriaâs Secret
NAV,Price On My Head
Summer Walker,Playing Games
Anuel AA,Hasta Que Dios Diga
Ashnikko,Slumber Party
J. Cole,Window Pain
Florida Georgia Line,May We All
Lady Gaga,Sour Candy
Felix Jaehn,Ain't Nobody (Loves Me Better)
A$AP Mob,RAF
Lukas Graham,Mama Said
Little Mix,Touch
Lil Wayne,What About Me
Future,Patek Water
"Tyler, The Creator",Who Dat Boy
Sean Paul,Mad Love
Chris Young,Think of You
LANY,Super Far
Travis Scott,WHO? WHAT!
Jonas Blue,By Your Side
Adele,Rolling in the Deep
Adam Lambert,Ghost Town
Machine Gun Kelly,bloody valentine
XXXTENTACION,Sauce!
Stanaj,Romantic
XXXTENTACION,I donât even speak spanish lol
Logic,Black SpiderMan
NLE Choppa,Jumpin
Macklemore & Ryan Lewis,Same Love
Lil Wayne,Believe Me
Brent Faiyaz,Trust
Future,Draco
Jon Pardi,Head Over Boots
Nause,Dynamite
Yahritza Y Su Esencia,Soy El Unico
Polo G,Distraction
Morgan Wallen,Livinâ The Dream
Kehlani,Gangsta
Gunna,COOLER THAN A BITCH
Kanye West,Believe What I Say
DJ Snake,A Different Way
Lil Yachty,Oprah's Bank Account (Lil Yachty & DaBaby feat. Drake)
OneRepublic,Start Again
MÃ,Nights With You
The Weeknd,Privilege
Loren Allred,Never Enough
Dan + Shay,I Should Probably Go To Bed
Vice,Obsession
P!nk,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")"
Florida Georgia Line,Cruise
Avicii,The Nights
Sabrina Carpenter,Thumbs
DaBaby,Lonely
Ziv Zaifman,A Million Dreams
MiC LOWRY,Oh Lord
Chance the Rapper,All We Got
J. Cole,For Whom The Bell Tolls
Taylor Swift,happiness
Kanye West,On God
Mooski,Track Star
Kanye West,Closed On Sunday
Iggy Azalea,Beg For It
Lorde,Solar Power
6ix9ine,GOTTI
bbno$,edamame
Lil Skies,No Rest
AlunaGeorge,You Know You Like It
Kodak Black,There He Go
Morgan Wallen,Dangerous
Troye Sivan,My My My!
FLETCHER,Undrunk
Fall Out Boy,Irresistible
Joyner Lucas,Your Heart
Dierks Bentley,Different For Girls
Paramore,Misery Business
Sabrina Carpenter,Why
Drake,7am On Bridle Path
Maroon 5,This Summer
Liam Payne,Familiar
Taylor Swift,I Bet You Think About Me
Morgan Wallen,Tennessee Fan
Joji,Run
Lil Uzi Vert,Bean (Kobe)
Logic,Contra
Ozuna,Hey Mor
Wiz Khalifa,Pull Up
Martin Garrix,So Far Away
Bebe Rexha,No Broken Hearts
Disclosure,Omen
Billy Currington,Do I Make You Wanna
Luke Bryan,One Margarita
Diplo,Lonely
Cardi B,Best Life
P!nk,Just Give Me a Reason
Bruno Mars,Locked out of Heaven
Isaiah Firebrace,It's Gotta Be You
Florida Georgia Line,Talk You Out Of It
Panic! At The Disco,Victorious
Avicii,Heaven
DVBBS,Not Going Home
Zach Bryan,Sun to Me
City Girls,Twerk
siouxxie sixxsta,masquerade
Paramore,Ain't It Fun
DJ Khaled,Wish Wish
Liana Flores,rises the moon
Lil Skies,Havin My Way
Nick Jonas,Chains
Travis Scott,HOUSTONFORNICATION
Sam Smith,Diamonds
Juice WRLD,I Want It
Taylor Swift,I Think He Knows
Little Big Town,Girl Crush
Taylor Swift,Red (Taylor's Version)
Taylor Swift,ivy
Morgan Wallen,Warning
Ed Sheeran,New Man
Stunna 4 Vegas,Up The Smoke
DaBaby,RAW SHIT
Drake,Can't Have Everything
Lil Wayne,Love Me
Florida Georgia Line,This Is How We Roll
A Boogie Wit da Hoodie,Say A'
Louis Armstrong,Cool Yule
Kid Cudi,Day 'N' Nite (Nightmare)
Lil Skies,I Know You
J. Cole,a p p l y i n g . p r e s s u r e
Rihanna,Desperado
Charlie Puth,Done for Me
J. Cole,Ville Mentality
Dan + Shay,All To Myself
Nick Jonas,Levels
Tory Lanez,FeRRis WhEEL
Mac DeMarco,Chamber Of Reflection
ZAYN,Let Me
Taylor Swift,epiphany
Taylor Swift,peace
Playboi Carti,@ MEH
Rod Wave,Tombstone
Kanye West,I Wonder
Eminem,Normal
Drake,Is There More
Dan + Shay,From the Ground Up
Bruno Mars,Treasure
Demi Lovato,I Love Me
The Weeknd,Attention
Calvin Harris,I Need Your Love
Kanye West,I Thought About Killing You
Rita Ora,Let You Love Me
Drake,Peak
Ivan Cornejo,J.
Post Malone,I Know
Gucci Mane,Back On Road
J. Cole,1 0 0 . m i l â
Demi Lovato,Met Him Last Night
SZA,Smoking on my Ex Pack
Keith Urban,"John Cougar, John Deere, John 3:16"
One Direction,History
Taylor Swift,All Too Well (Taylor's Version)
Lana Del Rey,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais)
Lil Wayne,"I Do It (ft. Big Sean, Lil Baby)"
Taylor Swift,Miss Americana & The Heartbreak Prince
J. Cole,Power Trip
SZA,Power is Power
Kanye West,Selah
Drake,Jumbotron Shit Poppin
Nicki Minaj,Do We Have A Problem?
Drake,Treacherous Twins
NF,Lie
Mac DeMarco,For the First Time
Lil Baby,Out The Mud
Luke Bryan,Play It Again
"Tyler, The Creator",JUGGERNAUT
J. Cole,l e t . g o . m y . h a n d
Belly,Might Not
Logic,Midnight
Lady Gaga,Million Reasons
OneRepublic,Connection
BTS,Black Swan
Pop Smoke,Make It Rain
"Bobby ""Boris"" Pickett & The Crypt-Kickers",Monster Mash
Chris Rea,Driving Home for Christmas
Darius Rucker,Wagon Wheel
Trippie Redd,Poles 1469
Kendrick Lamar,Savior
Naughty Boy,La La La
Baby Keem,trademark usa
Lil Baby,California Breeze
Morgan Wallen,Dying Man
Lil Uzi Vert,444+222
Carpenters,Sleigh Ride
Huncho Jack,Dubai Shit
Drake,Middle of the Ocean
Lana Del Rey,Young And Beautiful
Lil Uzi Vert,Yessirskiii
Vedo,You Got It
Ariana Grande,off the table
Ed Sheeran,What Do I Know?
Lauv,There's No Way
Bad Bunny,Un Verano Sin Ti
Lil Peep,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy)
J. Cole,The Climb Back
DaBaby,PICK UP
Nicki Minaj,Bed Of Lies
Lil Wayne,Nothing but Trouble
Trey Songz,"Touchin, Lovin"
Future,Patek
Maroon 5,Nobody's Love
DJ Khaled,Just Us
Moon Taxi,Two High
iann dior,gone girl
DRAM,Cash Machine
Post Malone,Jonestown (Interlude)
Drake,Race My Mind
Labrinth,I'm Tired
Chance the Rapper,Same Drugs
SZA,Conceited
The Weeknd,Gasoline
Lil Uzi Vert,Dark Queen
Shordie Shordie,Bitchuary
J. Cole,4 Your Eyez Only
Ray Parker Jr.,Ghostbusters
Brent Faiyaz,Gravity
Post Malone,Internet
Lil Uzi Vert,I'm Sorry
Ariana Grande,just like magic
Trippie Redd,Who Needs Love
MÃ¸me,Aloha
Mike WiLL Made-It,23
Kanye West,FML
Lil Pump,Designer
Kanye West,Everything We Need
Taylor Swift,long story short
DJ Khaled,Top Off
Ariana Grande,everytime
YUNGBLUD,11 Minutes
PARTYNEXTDOOR,Not Nice
Luke Combs,Even Though I'm Leaving
One Direction,Infinity
Dreezy,Body
Kanye West,No Mistakes
PinkPantheress,Just for me
Nicky Jam,X
Taylor Swift,Cornelia Street
J. Cole,FRIENDS
Lil Nas X,SCOOP
David Guetta,Don't Leave Me Alone
Lil Eazzyy,Onna Come Up
Gera MX,Botella Tras Botella
Taylor Swift,Blank Space
Zac Brown Band,Homegrown
Drake,More Mâs
Travis Scott,ASTROTHUNDER
Gryffin,Tie Me Down
Marshmello,Bye Bye
Alesso,REMEDY
Taylor Swift,London Boy
K CAMP,Comfortable
NF,HOPE
ILLENIUM,Good Things Fall Apart
Parker McCollum,Pretty Heart
The Game,Eazy
Shawn Mendes,When You're Gone
Ed Sheeran,How Would You Feel (Paean)
Tinashe,2 On
Selena Gomez,Come & Get It
Ty Dolla $ign,Pineapple
Doja Cat,Candy
DJ Khaled,How Many Times
Travis Scott,SKELETONS
ScHoolboy Q,CHopstix
Drake,Change Locations
Big Shaq,Man's Not Hot
Julia Michaels,Jump
Iggy Azalea,Team
A$AP Rocky,Babushka Boi
Anitta,Envolver
G-Eazy,Sober
Icona Pop,I Love It
Adele,Can I Get It
Billie Eilish,Bored
Hugh Jackman,The Other Side
Drake,You Only Live Twice
Why Don't We,I Don't Belong In This Club
Taylor Swift,Call It What You Want
Drake,Nothings Into Somethings
Kanye West,Use This Gospel
"Tyler, The Creator",RUNNING OUT OF TIME
A$AP Rocky,L$D
DJ Khaled,To the Max
Metro Boomin,On Time
Adele,My Little Love
Old Dominion,No Such Thing as a Broken Heart
XXXTENTACION,Save Me
Drake,Forever
Drake,Glow
BTS,DNA
YoungBoy Never Broke Again,Hot Now
Smokepurpp,123
Who Is Fancy,Boys Like You
Young Greatness,Moolah
Taylor Swift,You All Over Me
Labrinth,Formula
Drake,Faithful
J. Cole,Once an Addict
Machine Gun Kelly,RAP DEVIL
iLoveMemphis,Hit the Quan
Kanye West,All Falls Down
Migos,Call Casting
Nicki Minaj,Familia
Halsey,Hold Me Down
XXXTENTACION,$$$
G-Eazy,Drifting
Ariana Grande,Be Alright
A Boogie Wit da Hoodie,Undefeated
Elvis Presley,Here Comes Santa Claus (Right Down Santa Claus Lane)
Future,Jersey
Drake,Falling Back
Doja Cat,I Don't Do Drugs
G-Eazy,Let's Get Lost
Justin Bieber,Life Is Worth Living
Trippie Redd,Bust Down
Cardi B,Bickenhead
Little Mix,Shout Out to My Ex
Eric Bellinger,Valet
Drake,Yebbaâs Heartbreak
Imagine Dragons,It's Time
J. Cole,Foldin Clothes
Trippie Redd,Dark Knight Dummo
21 Savage,Rap Saved Me
Lauren Spencer Smith,Flowers
The Weeknd,Save Your Tears (Remix)
Chase Rice,Eyes On You
Gucci Mane,Tone it Down
carolesdaughter,Violent
Polo G,Epidemic
Blake Shelton,Sangria
NextYoungin,3 Musketeers
Takeoff,Last Memory
T.I.,About the Money
Kris Kross Amsterdam,Whenever
Kendrick Lamar,Worldwide Steppers
Juice WRLD,Maze
Panic! At The Disco,Say Amen (Saturday Night)
A$AP Rocky,A$AP Forever
Chris Young,Famous Friends
Drake,Ratchet Happy Birthday
Kendrick Lamar,We Cry Together
SHAED,Trampoline
Kanye West,Jonah
Hozier,Almost (Sweet Music)
YG,My Nigga
Avicii,The Days
Drake,Keep The Family Close
XXXTENTACION,infinity (888)
Lil Uzi Vert,Celebration Station
Myke Towers,Bandido
Russ,Civil War
My Chemical Romance,Teenagers
Kevin Gates,Time for That
Drake,Weston Road Flows
Major Lazer,Trigger
J. Cole,t h e . c l i m b . b a c k
Kiiara,Whippin
Chance the Rapper,I Might Need Security
Lil Uzi Vert,Venetia
Baby Keem,range brothers
Miley Cyrus,Jaded
Hozier,Eat Your Young
Taylor Swift,coney island
Adele,I Drink Wine
Roar,I Can't Handle Change
Drake,Lose You
NLE Choppa,Famous Hoes
Twenty One Pilots,Nico And The Niners
Lauren Daigle,You Say
Eminem,Berzerk
BeyoncÃ©,Partition
Migos,Gang Gang
Morgan Wallen,Born With A Beer In My Hand
Daya,New
Dean Martin,Rudolph The Red-Nosed Reindeer
Lil Tecca,Out Of Love
Cardi B,Hot Shit
24kGoldn,Company
Logic,Overnight
Dae Dae,"Wat U Mean (Aye, Aye, Aye)"
The Weeknd,Scared To Live
Meek Mill,Uptown Vibes
MisterWives,Reflections
The Weeknd,Hardest To Love
Harry Styles,Cherry
Morgan Wallen,Whiskey Friends
Niall Horan,Heaven
Benson Boone,GHOST TOWN
K CAMP,Lottery
Morgan Wallen,Devil Donât Know
Young Thug,Hop Off A Jet
Luke Combs,5 Leaf Clover
Ed Sheeran,Barcelona
Tyga,Freaky Deaky
Rae Sremmurd,CLOSE
Lil Uzi Vert,Bigger Than Life
Eminem,Stepping Stone
Ariana Grande,safety net
Gunna,SKYBOX
G-Eazy,Random
Coldplay,Hymn for the Weekend
"Tyler, The Creator",SWEET / I THOUGHT YOU WANTED TO DANCE
Sarah Cothran,As the World Caves In
Ariana Grande,The Way
Ed Sheeran,Supermarket Flowers
SleazyWorld Go,Sleazy Flow
Childish Gambino,Feels Like Summer
Future,712PM
Robin Schulz,Headlights
Macklemore,Marmalade
Kanye West,Ok Ok
Camila Cabello,Easy
Luke Bryan,Knockin' Boots
Major Lazer,Powerful
Ty Dolla $ign,Campaign
Eric Church,Record Year
Taylor Swift,evermore
Lil Wayne,Famous
The Kid LAROI,ALWAYS DO
Future,I'm so Groovy
Drake,Fountains
Doja Cat,Juicy
The Weeknd,Prisoner
6LACK,Pretty Little Fears
Gucci Mane,Both
Brent Faiyaz,JACKIE BROWN
The Weeknd,Alone Again
Quavo,PASS OUT
Kendrick Lamar,Purple Hearts
Drake,Skepta Interlude
Gunna,thought i was playing
Shawn Mendes,Youth feat. Khalid
The Kid LAROI,TELL ME WHY
The Backseat Lovers,Kilby Girl
Shawn Hook,Reminding Me
Bazzi,Focus
MARINA,Bubblegum Bitch
Florida Georgia Line,Confession
Bryson Tiller,Been That Way
Machine Gun Kelly,Trap Paris
A Boogie Wit da Hoodie,Jungle
Sleepy Hallow,Deep End Freestyle
Mustard,Don't Hurt Me
Daddy Yankee,X ÃLTIMA VEZ
Kendrick Lamar,untitled 02 | 06.23.2014.
J Balvin,Rojo
Jason Aldean,Got What I Got
Sam Smith,Iâm Ready
Kanye West,Heaven and Hell
J. Cole,p u n c h i n â . t h e . c l o c k
Taylor Swift,hoax
Chris Brown,Undecided
Ellie Goulding,Still Falling For You
